Category,Name,Location,READ ID,Type,Elevation (ft),Range (km)
WEATHER,PHWA,SOUTH SHORE,NEXRAD157,NEXRAD,1370.00000000,230.000000000
WEATHER,PHKM,KAMUELA,NEXRAD155,NEXRAD,3812.00000000,230.000000000
WEATHER,PHMO,MOLOKAI,NEXRAD156,NEXRAD,1363.00000000,230.000000000
WEATHER,PHKI,SOUTH KAUAI,NEXRAD154,NEXRAD,179.000000000,230.000000000
WEATHER,KBYX,KEY WEST,NEXRAD019,NEXRAD,8.00000000000,230.000000000
WEATHER,KAMX,MIAMI,NEXRAD005,NEXRAD,14.0000000000,230.000000000
WEATHER,TMIA,"Miami (MIA), FL",TDWR025,TDWR,125.000000000,230.000000000
WEATHER,KBRO,BROWNSVILLE,NEXRAD017,NEXRAD,23.0000000000,230.000000000
WEATHER,TFLL,"Fort Lauderdale (FLL), FL",TDWR017,TDWR,120.000000000,230.000000000
WEATHER,TPBI,"West Palm Beach (PBI), FL",TDWR044,TDWR,133.000000000,230.000000000
WEATHER,KTBW,TAMPA,NEXRAD131,NEXRAD,41.0000000000,230.000000000
WEATHER,KCRP,CORP CHRISTI,NEXRAD027,NEXRAD,45.0000000000,230.000000000
WEATHER,TTPA,"Tampa Bay (TPA), FL",TDWR041,TDWR,93.0000000000,230.000000000
WEATHER,KMLB,MELBOURNE,NEXRAD098,NEXRAD,35.0000000000,230.000000000
WEATHER,TMCO,"Orlando International (MCO), FL",TDWR033,TDWR,169.000000000,230.000000000
WEATHER,KDFX,LAUGHLIN AFB,NEXRAD032,NEXRAD,1131.00000000,230.000000000
WEATHER,KHGX,HOUSTON,NEXRAD066,NEXRAD,18.0000000000,230.000000000
WEATHER,THOU,"Houston Hobby (HOU), TX",TDWR018,TDWR,116.000000000,230.000000000
WEATHER,KEWX,AUSTIN/S ANT,NEXRAD047,NEXRAD,633.000000000,230.000000000
WEATHER,TMSY,"New Orleans (MSY), LA",TDWR029,TDWR,99.0000000000,230.000000000
WEATHER,TIAH,"Houston International (IAH), TX",TDWR019,TDWR,253.000000000,230.000000000
WEATHER,KLCH,LAKE CHARLES,NEXRAD083,NEXRAD,13.0000000000,230.000000000
WEATHER,KLIX,NEW ORLEANS,NEXRAD084,NEXRAD,24.0000000000,230.000000000
WEATHER,KTLH,TALLAHASSEE,NEXRAD133,NEXRAD,63.0000000000,230.000000000
WEATHER,KJAX,JACKSONVILLE,NEXRAD079,NEXRAD,33.0000000000,230.000000000
WEATHER,KBIX,KEESLER AFB,NEXRAD013,NEXRAD,136.000000000,230.000000000
WEATHER,KEVX,EGLIN AFB,NEXRAD046,NEXRAD,140.000000000,230.000000000
WEATHER,KMOB,MOBILE,NEXRAD099,NEXRAD,208.000000000,230.000000000
WEATHER,KGRK,FORT HOOD,NEXRAD060,NEXRAD,538.000000000,230.000000000
WEATHER,KVAX,MOODY AFB,NEXRAD139,NEXRAD,178.000000000,230.000000000
WEATHER,KPOE,FORT POLK,NEXRAD117,NEXRAD,408.000000000,230.000000000
WEATHER,KSJT,SAN ANGELO,NEXRAD128,NEXRAD,1890.00000000,230.000000000
WEATHER,KEOX,FORT RUCKER,NEXRAD043,NEXRAD,434.000000000,230.000000000
WEATHER,KEPZ,EL PASO,NEXRAD044,NEXRAD,4104.00000000,230.000000000
WEATHER,KEMX,TUCSON,NEXRAD041,NEXRAD,5202.00000000,230.000000000
WEATHER,KMAF,MIDLAND/ODSSA,NEXRAD093,NEXRAD,2868.00000000,230.000000000
WEATHER,KDGX,JACKSON/BRAN,NEXRAD078,NEXRAD,609.000000000,230.000000000
WEATHER,KJAN,JACKSON,NEXRAD162,NEXRAD,297.000000000,230.000000000
WEATHER,KSHV,SHREVEPORT,NEXRAD127,NEXRAD,273.000000000,230.000000000
WEATHER,KYUX,YUMA,NEXRAD144,NEXRAD,174.000000000,230.000000000
WEATHER,KMXX,MAXWELL AFB,NEXRAD107,NEXRAD,400.000000000,230.000000000
WEATHER,KDYX,DYESS AFB,NEXRAD039,NEXRAD,1517.00000000,230.000000000
WEATHER,KFWS,DALLAS/FTW,NEXRAD055,NEXRAD,683.000000000,230.000000000
WEATHER,KCLX,CHARLESTON,NEXRAD025,NEXRAD,97.0000000000,230.000000000
WEATHER,KJGX,ROBINS AFB,NEXRAD080,NEXRAD,521.000000000,230.000000000
WEATHER,KNKX,SAN DIEGO,NEXRAD108,NEXRAD,955.000000000,230.000000000
WEATHER,TDAL,"Dallas Love Field (DAL), TX",TDWR011,TDWR,622.000000000,230.000000000
WEATHER,TDFW,"Dallas/Ft. Worth (DFW), TX",TDWR012,TDWR,585.000000000,230.000000000
WEATHER,KHDX,HOLLOMAN AFB,NEXRAD065,NEXRAD,4222.00000000,230.000000000
WEATHER,KBMX,BIRMINGHAM,NEXRAD015,NEXRAD,645.000000000,230.000000000
WEATHER,KIWA,PHOENIX,NEXRAD076,NEXRAD,1353.00000000,230.000000000
WEATHER,KFFC,ATLANTA,NEXRAD051,NEXRAD,858.000000000,230.000000000
WEATHER,TPHX,"Phoenix (PHX), AZ",TDWR035,TDWR,1089.00000000,230.000000000
WEATHER,TATL,"Atlanta (ATL), GA",TDWR002,TDWR,1075.00000000,230.000000000
WEATHER,KLBB,LUBBOCK,NEXRAD082,NEXRAD,3259.00000000,230.000000000
WEATHER,KSOX,SANTA ANA MT,NEXRAD129,NEXRAD,3027.00000000,230.000000000
WEATHER,KGWX,COLUMBUS AFB,NEXRAD063,NEXRAD,476.000000000,230.000000000
WEATHER,KCAE,COLUMBIA,NEXRAD020,NEXRAD,231.000000000,230.000000000
WEATHER,KLTX,WILMINGTON,NEXRAD089,NEXRAD,64.0000000000,230.000000000
WEATHER,KFDR,ALTUS AFB,NEXRAD049,NEXRAD,1267.00000000,230.000000000
WEATHER,KVTX,LOS ANGELES,NEXRAD142,NEXRAD,2726.00000000,230.000000000
WEATHER,KFSX,FLAGSTAFF,NEXRAD053,NEXRAD,7417.00000000,230.000000000
WEATHER,KFDX,CANNON AFB,NEXRAD050,NEXRAD,4650.00000000,230.000000000
WEATHER,KMHX,MOREHEAD CITY,NEXRAD096,NEXRAD,31.0000000000,230.000000000
WEATHER,KLZK,LITTLE ROCK,NEXRAD092,NEXRAD,568.000000000,230.000000000
WEATHER,KVBX,VANDENBRG AFB,NEXRAD140,NEXRAD,1233.00000000,230.000000000
WEATHER,KGSP,GREER,NEXRAD062,NEXRAD,940.000000000,230.000000000
WEATHER,TMEM,"Memphis (MEM), TN",TDWR024,TDWR,483.000000000,230.000000000
WEATHER,KHTX,HUNTSVILLE,NEXRAD069,NEXRAD,1760.00000000,230.000000000
WEATHER,KABX,ALBUQUERQUE,NEXRAD002,NEXRAD,5870.00000000,230.000000000
WEATHER,KAMA,AMARILLO,NEXRAD004,NEXRAD,3587.00000000,230.000000000
WEATHER,KCRI,NORMAN,NEXRAD026,NEXRAD,1295.00000000,230.000000000
WEATHER,TOKC,"Oklahoma City (OKC), OK",TDWR032,TDWR,1308.00000000,230.000000000
WEATHER,KSRX,FORT SMITH,NEXRAD130,NEXRAD,640.000000000,230.000000000
WEATHER,KTLX,OKLAHOMA CITY,NEXRAD134,NEXRAD,1213.00000000,230.000000000
WEATHER,TCLT,"Charlotte (CLT), NC",TDWR005,TDWR,871.000000000,230.000000000
WEATHER,KNQA,MEMPHIS,NEXRAD109,NEXRAD,282.000000000,230.000000000
WEATHER,KRAX,RALEIGH/DUR,NEXRAD119,NEXRAD,348.000000000,230.000000000
WEATHER,KESX,LAS VEGAS,NEXRAD045,NEXRAD,4867.00000000,230.000000000
WEATHER,TBNA,"Nashville (BNA), TN",TDWR028,TDWR,817.000000000,230.000000000
WEATHER,TRDU,"Raleigh Durham (RDU), NC",TDWR037,TDWR,515.000000000,230.000000000
WEATHER,TTUL,"Tulsa (TUL), OK",TDWR042,TDWR,823.000000000,230.000000000
WEATHER,TLAS,"Las Vegas (LAS), NV",TDWR022,TDWR,2058.00000000,230.000000000
WEATHER,KMRX,KNOXVILLE,NEXRAD102,NEXRAD,1337.00000000,230.000000000
WEATHER,KINX,TULSA,NEXRAD075,NEXRAD,668.000000000,230.000000000
WEATHER,KOHX,NASHVILLE,NEXRAD111,NEXRAD,579.000000000,230.000000000
WEATHER,KHNX,SAN JOAQUIN V,NEXRAD067,NEXRAD,243.000000000,230.000000000
WEATHER,KHPX,FORT CAMPBELL,NEXRAD068,NEXRAD,576.000000000,230.000000000
WEATHER,KVNX,VANCE AFB,NEXRAD141,NEXRAD,1210.00000000,230.000000000
WEATHER,KAKQ,NORFOLK/RICH,NEXRAD003,NEXRAD,112.000000000,230.000000000
WEATHER,KFCX,ROANOKE,NEXRAD048,NEXRAD,2868.00000000,230.000000000
WEATHER,KPAH,PADUCAH,NEXRAD114,NEXRAD,392.000000000,230.000000000
WEATHER,KMUX,SAN FRANCISCO,NEXRAD105,NEXRAD,3469.00000000,230.000000000
WEATHER,KSGF,SPRINGFIELD,NEXRAD126,NEXRAD,1278.00000000,230.000000000
WEATHER,TICH,"Wichita (ICT), KS",TDWR045,TDWR,1350.00000000,230.000000000
